epoch,train_loss,val_loss,val_accuracy,lr
173,0.0904851,0.123148,0.713333,0.0001
174,0.0907003,0.122597,0.715,0.0001
175,0.0905276,0.122643,0.713333,0.0001
176,0.090508,0.122458,0.711667,0.0001
177,0.0901418,0.123413,0.71,0.0001
178,0.0904228,0.123328,0.713333,0.0001
179,0.0899885,0.123086,0.716667,0.0001
180,0.090236,0.122937,0.706667,0.0001
181,0.0900027,0.123778,0.716667,0.0001
182,0.0899179,0.122163,0.718333,0.0001
183,0.0899994,0.122302,0.71,0.0001
184,0.0899156,0.122378,0.711667,0.0001
185,0.0897535,0.123107,0.711667,0.0001
186,0.0897984,0.12243,0.72,0.0001
187,0.0896117,0.122848,0.711667,0.0001
188,0.0894334,0.122153,0.711667,0.0001
189,0.0894334,0.122095,0.718333,0.0001
190,0.0893163,0.12224,0.716667,0.0001
191,0.0893026,0.12185,0.71,0.0001
192,0.0892394,0.122883,0.711667,0.0001
193,0.0892417,0.121902,0.708333,0.0001
194,0.0891261,0.122327,0.715,0.0001
195,0.0890524,0.121849,0.71,0.0001
196,0.0890771,0.121741,0.716667,0.0001
197,0.088862,0.121816,0.71,0.0001
198,0.0886859,0.124993,0.711667,0.0001
199,0.0888072,0.122736,0.715,0.0001
